Unnamed: 0,State_Name,Crop_Type,Crop,N,P,K,pH,rainfall,temperature,Production_in_quintals,Area_in_acres,Yield_quintals_per_acre
5013,andhra pradesh,rabi,moong,20,40,20,5.58,288.3,25.46,9000,5683.415,1.583554957714684
5014,andhra pradesh,rabi,rice,80,40,40,5.56,288.3,25.46,8491000,480125.015,17.684977317834605
11060,andhra pradesh,kharif,cotton,120,40,20,5.54,654.34,29.26666666666667,105100,23358.83565,4.499368100995222
11061,andhra pradesh,kharif,horsegram,20,60,20,6.08,654.34,29.26666666666667,4950,4353.9901,1.1368882074398836
11062,andhra pradesh,kharif,jowar,80,40,40,5.38,654.34,29.26666666666667,145820,27505.25755,5.301531888400732
11063,andhra pradesh,kharif,maize,80,40,20,5.56,654.34,29.26666666666667,95400,8297.7859,11.49704284368195
11064,andhra pradesh,kharif,moong,20,40,20,5.4,654.34,29.26666666666667,10980,3820.2433,2.8741624911690837
11065,andhra pradesh,kharif,ragi,50,40,20,5.34,654.34,29.26666666666667,114670,15357.57575,7.466673247566433
11066,andhra pradesh,kharif,rice,80,40,40,5.46,654.34,29.26666666666667,1050820,93877.66055,11.193504331526508
11067,andhra pradesh,kharif,sesamum,30,15,30,6.64,654.34,29.26666666666667,20,19.7684,1.011715667428826
11068,andhra pradesh,rabi,horsegram,20,60,20,5.96,288.3,25.46,3270,2646.49455,1.2355967254873057
11069,andhra pradesh,rabi,jowar,80,40,40,5.52,288.3,25.46,305760,53095.45135,5.758685390664826
11070,andhra pradesh,rabi,maize,80,40,20,5.5,288.3,25.46,22030,1124.32775,19.593930684357836
11071,andhra pradesh,rabi,moong,20,40,20,5.64,288.3,25.46,10,2.47105,4.046862669715304
11072,andhra pradesh,rabi,ragi,50,40,20,5.68,288.3,25.46,11800,1813.7507,6.505855518070923
11073,andhra pradesh,rabi,rice,80,40,40,5.34,288.3,25.46,456690,50058.5309,9.123120311147606
11074,andhra pradesh,rabi,sesamum,30,15,30,6.46,288.3,25.46,20,24.7105,0.8093725339430606
11075,andhra pradesh,rabi,wheat,60,30,30,7,288.3,25.46,2940,1084.79095,2.7101996011305216
11076,andhra pradesh,whole year,onion,120,60,65,6.18,1037.32,28.081818181818186,323640,4373.7585,73.99585505235372
11077,andhra pradesh,kharif,cotton,120,40,20,5.38,654.34,29.26666666666667,20,4.9421,4.046862669715304
11078,andhra pradesh,kharif,horsegram,20,60,20,6.16,654.34,29.26666666666667,18530,8278.0175,2.238458664770883
11079,andhra pradesh,kharif,jowar,80,40,40,5.52,654.34,29.26666666666667,7970,3360.628,2.3715805498258065
11080,andhra pradesh,kharif,maize,80,40,20,5.66,654.34,29.26666666666667,5140,447.26005,11.492195647699813
11081,andhra pradesh,kharif,moong,20,40,20,5.64,654.34,29.26666666666667,1130,392.89695,2.876072211810247
11082,andhra pradesh,kharif,ragi,50,40,20,5.34,654.34,29.26666666666667,56660,20260.13895,2.7966244525682287
11083,andhra pradesh,kharif,rice,80,40,40,5.68,654.34,29.26666666666667,754770,92768.1591,8.136089012894942
11084,andhra pradesh,kharif,sesamum,30,15,30,6.42,654.34,29.26666666666667,1170,1195.9882,0.9782705213981208
11085,andhra pradesh,kharif,sunflower,50,60,30,5.58,654.34,29.26666666666667,7000,2982.55735,2.3469791787909795
11086,andhra pradesh,rabi,horsegram,20,60,20,5.82,288.3,25.46,6200,5026.1157,1.2335569593035831
11087,andhra pradesh,rabi,jowar,80,40,40,5.34,288.3,25.46,400,96.37095,4.150628379195183
11088,andhra pradesh,rabi,maize,80,40,20,5.5,288.3,25.46,3240,165.56035,19.56990305951878
11089,andhra pradesh,rabi,moong,20,40,20,5.68,288.3,25.46,230,210.03925,1.0950334282759056
11090,andhra pradesh,rabi,ragi,50,40,20,5.52,288.3,25.46,18870,3345.8017,5.639903883126128
